Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"36047118800","14000US36047118800","Census Tract 1188","Census Tract 1188, Kings County, New York","ny","140","00","ACSSF","0005237",,,,,"36","047",,,,"118800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4408,1396,1729,0,991,0,271,21
"36047119000","14000US36047119000","Census Tract 1190","Census Tract 1190, Kings County, New York","ny","140","00","ACSSF","0005238",,,,,"36","047",,,,"119000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526,714,1257,8,92,0,392,63
"36047119200","14000US36047119200","Census Tract 1192","Census Tract 1192, Kings County, New York","ny","140","00","ACSSF","0005239",,,,,"36","047",,,,"119200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2913,708,1411,11,114,0,598,71
"36047119400","14000US36047119400","Census Tract 1194","Census Tract 1194, Kings County, New York","ny","140","00","ACSSF","0005240",,,,,"36","047",,,,"119400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4466,1093,2973,0,72,0,317,11
"36047119600","14000US36047119600","Census Tract 1196","Census Tract 1196, Kings County, New York","ny","140","00","ACSSF","0005241",,,,,"36","047",,,,"119600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4867,1127,2584,0,806,0,266,84
"36047119800","14000US36047119800","Census Tract 1198","Census Tract 1198, Kings County, New York","ny","140","00","ACSSF","0005242",,,,,"36","047",,,,"119800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3017,602,1393,12,0,0,972,38
"36047120000","14000US36047120000","Census Tract 1200","Census Tract 1200, Kings County, New York","ny","140","00","ACSSF","0005243",,,,,"36","047",,,,"120000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2775,309,1774,6,508,0,80,98
"36047120200","14000US36047120200","Census Tract 1202","Census Tract 1202, Kings County, New York","ny","140","00","ACSSF","0005244",,,,,"36","047",,,,"120200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,161,1234,0,502,0,29,45
"36047120800","14000US36047120800","Census Tract 1208","Census Tract 1208, Kings County, New York","ny","140","00","ACSSF","0005245",,,,,"36","047",,,,"120800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9595,967,7968,61,232,0,165,202
"36047121000","14000US36047121000","Census Tract 1210","Census Tract 1210, Kings County, New York","ny","140","00","ACSSF","0005246",,,,,"36","047",,,,"121000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110,1138,2530,114,11,0,237,80
